FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00001,Quel est le délai de déclaration d'un sinistre ?,Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00001.","Délais,assurance auto,Maroc",4
FAQ00002,Comment fonctionne le bonus-malus ?,Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00002.","Bonus Malus,assurance auto,Maroc",1
FAQ00003,Puis-je assurer une voiture neuve ?,Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00003.","Souscription,assurance auto,Maroc",2
FAQ00004,Quelle franchise choisir ?,Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00004.,"Franchise,assurance auto,Maroc",3
FAQ00005,Comment résilier mon contrat ?,Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00005.,"Résiliation,assurance auto,Maroc",5
FAQ00006,Le vol est-il couvert ?,Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00006.","Garanties,assurance auto,Maroc",4
FAQ00007,Quels documents pour souscrire ?,Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00007.","Souscription,assurance auto,Maroc",1
FAQ00008,Puis-je payer mensuellement ?,Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00008.","Paiement,assurance auto,Maroc",3
FAQ00009,Comment contester un refus d'indemnisation ?,Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00009.,"Réclamations,assurance auto,Maroc",1
FAQ00010,Comment déclarer un sinistre ?,Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00010.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00011,Quelle est la durée de validité du relevé d'information ?,Documents,"Le relevé d'information est valable 3 mois à compter de sa date d'émission. Réf. FAQ-00011.","Documents,assurance auto,Maroc",2
FAQ00012,Que faire en cas de sinistre avec un tiers ?,Sinistre,"Échangez vos coordonnées, remplissez un constat et contactez votre assureur sous 5 jours. Réf. FAQ-00012.","Sinistre,assurance auto,Maroc",1
FAQ00013,Comment se calcule l'indemnisation d'un véhicule volé ?,Indemnisation,"L'indemnisation est basée sur la valeur Argus du véhicule au moment du vol, déduction faite de la franchise. Réf. FAQ-00013.","Indemnisation,assurance auto,Maroc",4
FAQ00014,Qu'est-ce que le coefficient de réduction-majoration ?,Bonus Malus,"Le CRM, anciennement bonus-malus, est un coefficient qui évolue chaque année selon votre sinistralité. Réf. FAQ-00014.","Bonus Malus,assurance auto,Maroc",2
FAQ00015,Puis-je assurer un véhicule de collection ?,Souscription,"Oui, nous proposons une formule spécifique pour les véhicules de collection avec une expertise préalable. Réf. FAQ-00015.","Souscription,assurance auto,Maroc",3
FAQ00016,Quels sont les délais de paiement de l'indemnisation ?,Indemnisation,"L'indemnisation est versée sous 30 jours maximum après accord sur le montant. Réf. FAQ-00016.","Indemnisation,assurance auto,Maroc",5
FAQ00017,Comment fonctionne l'assistance en cas de panne ?,Assistance,"L'assistance vous permet de bénéficier d'un dépannage, d'un véhicule de remplacement et d'une aide au rapatriement. Réf. FAQ-00017.","Assistance,assurance auto,Maroc",2
FAQ00018,Quels sont les exclusions de garantie principales ?,Garanties,"Les exclusions principales sont : la conduite sous influence, les courses, l'usure normale et les dommages intentionnels. Réf. FAQ-00018.","Garanties,assurance auto,Maroc",4
FAQ00019,Comment modifier mon contrat en cours d'année ?,Souscription,"Contactez votre conseiller ou effectuez la modification via votre espace client. Un avenant sera émis. Réf. FAQ-00019.","Souscription,assurance auto,Maroc",1
FAQ00020,Quelle est la différence entre Tous Risques et Responsabilité Civile ?,Garanties,"La RC couvre les dommages aux tiers, tandis que Tous Risques couvre également votre véhicule. Réf. FAQ-00020.","Garanties,assurance auto,Maroc",3
FAQ00021,Que faire si mon véhicule est endommagé par une catastrophe naturelle ?,Sinistre,"Déclarez le sinistre dans les 5 jours et fournissez les justificatifs de l'événement climatique. Réf. FAQ-00021.","Sinistre,assurance auto,Maroc",5
FAQ00022,Comment bénéficier d'une réduction pour conduite sécurisée ?,Bonus,"Installez un boîtier connecté qui analyse votre conduite. Une réduction peut être appliquée. Réf. FAQ-00022.","Bonus,assurance auto,Maroc",2
FAQ00023,Puis-je résilier mon contrat à tout moment ?,Résiliation,"Oui, après 1 an de contrat, vous pouvez résilier à tout moment sans frais (loi Hamon). Réf. FAQ-00023.","Résiliation,assurance auto,Maroc",4
FAQ00024,Comment déclarer un sinistre à l'étranger ?,Sinistre,"Appelez le numéro d'assistance international et suivez les instructions de votre assureur. Réf. FAQ-00024.","Sinistre,assurance auto,Maroc",3
FAQ00025,Qu'est-ce que la garantie valeur à neuf ?,Garanties,"La valeur à neuf permet de remplacer votre véhicule sans décote pendant les 12 à 24 premiers mois. Réf. FAQ-00025.","Garanties,assurance auto,Maroc",1
FAQ00026,Comment calculer ma prime d'assurance ?,Paiement,"La prime dépend de votre véhicule, de votre âge, de votre lieu de résidence et de votre historique. Réf. FAQ-00026.","Paiement,assurance auto,Maroc",2
FAQ00027,Que faire en cas de blessures après un accident ?,Sinistre,"Consultez un médecin, gardez les certificats médicaux et informez votre assureur. Réf. FAQ-00027.","Sinistre,assurance auto,Maroc",5
FAQ00028,Quels sont les avantages de l'application mobile ?,Services,"L'application permet de déclarer un sinistre, suivre vos dossiers et contacter votre conseiller. Réf. FAQ-00028.","Services,assurance auto,Maroc",3
FAQ00029,Comment contester le montant de l'indemnisation ?,Réclamations,"Adressez une contestation écrite au service réclamations avec les justificatifs nécessaires. Réf. FAQ-00029.","Réclamations,assurance auto,Maroc",4
FAQ00030,Puis-je assurer plusieurs véhicules au même contrat ?,Souscription,"Oui, la formule multi-véhicules permet de regrouper plusieurs véhicules sur un seul contrat. Réf. FAQ-00030.","Souscription,assurance auto,Maroc",1
FAQ00031,Qu'est-ce que la franchise relative ?,Franchise,"La franchise relative s'applique uniquement lorsque le montant des dommages dépasse un certain seuil. Réf. FAQ-00031.","Franchise,assurance auto,Maroc",2
FAQ00032,Comment fonctionne le rapatriement du véhicule ?,Assistance,"L'assistance prend en charge le rapatriement du véhicule vers votre domicile ou un garage agréé. Réf. FAQ-00032.","Assistance,assurance auto,Maroc",3
FAQ00033,Quels documents pour une déclaration de vol ?,Documents,"Copie du dépôt de plainte, des clés du véhicule, la carte grise et le certificat d'assurance. Réf. FAQ-00033.","Documents,assurance auto,Maroc",5
FAQ00034,Comment se passe l'expertise après un sinistre ?,Sinistre,"Un expert mandaté par l'assureur évalue les dommages et propose un montant d'indemnisation. Réf. FAQ-00034.","Sinistre,assurance auto,Maroc",4
FAQ00035,Puis-je modifier ma formule en cours de contrat ?,Souscription,"Oui, vous pouvez changer de formule à chaque échéance annuelle ou en cas de changement de situation. Réf. FAQ-00035.","Souscription,assurance auto,Maroc",2
FAQ00036,Qu'est-ce que le coefficient de référence ?,Bonus,"Le coefficient de référence est celui appliqué la première année, fixé à 1.00 pour tout nouveau contrat. Réf. FAQ-00036.","Bonus,assurance auto,Maroc",1
FAQ00037,Comment signaler un retard de livraison de mon véhicule ?,Services,"Contactez votre conseiller qui vous orientera vers le service dédié aux litiges de livraison. Réf. FAQ-00037.","Services,assurance auto,Maroc",3
FAQ00038,Quels sont les risques en cas de non-déclaration d'un sinistre ?,Délais,"La non-déclaration dans les délais peut entraîner une réduction de l'indemnisation ou un refus de garantie. Réf. FAQ-00038.","Délais,assurance auto,Maroc",5
FAQ00039,Comment fonctionne le remboursement du véhicule de remplacement ?,Assistance,"Le véhicule de remplacement est pris en charge pendant la durée des réparations, dans la limite du contrat. Réf. FAQ-00039.","Assistance,assurance auto,Maroc",2
FAQ00040,Puis-je résilier mon contrat si je vends ma voiture ?,Résiliation,"Oui, la vente du véhicule entraîne la résiliation automatique du contrat d'assurance. Réf. FAQ-00040.","Résiliation,assurance auto,Maroc",4
FAQ00041,Quelles sont les sanctions en cas de conducteur non déclaré ?,Garanties,"L'assureur peut réduire l'indemnisation ou refuser la garantie en cas de conducteur non déclaré. Réf. FAQ-00041.","Garanties,assurance auto,Maroc",3
FAQ00042,Comment obtenir un duplicata de mon attestation ?,Documents,"Connectez-vous à votre espace client pour télécharger une nouvelle attestation à tout moment. Réf. FAQ-00042.","Documents,assurance auto,Maroc",1
FAQ00043,Qu'est-ce que l'assurance au kilomètre ?,Souscription,"L'assurance au kilomètre est une formule où la prime varie en fonction du nombre de kilomètres parcourus. Réf. FAQ-00043.","Souscription,assurance auto,Maroc",2
FAQ00044,Comment fonctionne la garantie bris de glace ?,Garanties,"La garantie bris de glace couvre le remplacement du pare-brise, des vitres latérales et de la lunette arrière. Réf. FAQ-00044.","Garanties,assurance auto,Maroc",5
FAQ00045,Quels sont les délais pour contester un sinistre ?,Délais,"Vous disposez de 30 jours à compter de la notification de la décision d'indemnisation. Réf. FAQ-00045.","Délais,assurance auto,Maroc",3
FAQ00046,Comment contacter le service réclamations ?,Réclamations,"Par téléphone au 0522-XX-XX-XX ou par courrier à l'adresse du siège social. Réf. FAQ-00046.","Réclamations,assurance auto,Maroc",4
FAQ00047,Puis-je résilier mon contrat par email ?,Résiliation,"Oui, vous pouvez envoyer votre demande de résiliation par email avec accusé de réception. Réf. FAQ-00047.","Résiliation,assurance auto,Maroc",2
