ExclusionID,Nom,Categorie,Description,PackImpacte
EX00001,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 5 des CG.,Eco
EX00002,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 1 des CG.,Tous
EX00003,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 14 des CG.,VIP
EX00004,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,Silver
EX00005,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 15 des CG.,Gold
EX00006,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Business
EX00007,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 17 des CG.,Gold
EX00008,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 21 des CG.,Tous
EX00009,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 16 des CG.,Silver
EX00010,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 37 des CG.,Gold+
EX00011,Défaut de déclaration des conducteurs secondaires,Administratif,Le conducteur secondaire non déclaré entraîne la nullité de la garantie. Voir article 12 des CG.,Silver
EX00012,Utilisation du véhicule pour le transport de marchandises,Usage,Le transport de marchandises sans autorisation n'est pas couvert. Voir article 8 des CG.,Gold
EX00013,Dégâts causés par une négligence grave du conducteur,Conduite,La négligence grave comme l'oubli du frein à main n'est pas indemnisée. Voir article 19 des CG.,Eco
EX00014,Véhicule utilisé comme habitation ou dortoir,Usage,L'usage du véhicule comme lieu d'habitation est exclu des garanties. Voir article 27 des CG.,VIP
EX00015,Dommages liés à l'usure des pièces d'usure,Administratif,Les pièces d'usure comme les plaquettes ou les courroies ne sont pas couvertes. Voir article 33 des CG.,Bronze
EX00016,Accident survenu lors d'une manifestation sportive,Conduite,Les accidents survenus lors de courses ou rallyes ne sont pas pris en charge. Voir article 41 des CG.,Silver+
EX00017,Perte de valeur du véhicule après réparation,Administratif,La dépréciation du véhicule suite à une réparation n'est pas indemnisée. Voir article 9 des CG.,Gold
EX00018,Dommages causés par une guerre ou une émeute,Territorial,Les dommages liés à des événements politiques ou sociaux sont exclus. Voir article 44 des CG.,Business
EX00019,Frais de dépannage au-delà du forfait contractuel,Usage,Les frais de dépannage excessifs ne sont pas remboursés au-delà du plafond. Voir article 13 des CG.,Premium
EX00020,Dégâts causés par un animal non identifié,Sinistre,Les collisions avec un animal sans identification ne sont pas couvertes. Voir article 22 des CG.,Eco+
EX00021,Conduite sans permis valide au moment du sinistre,Administratif,Un permis périmé ou invalide entraîne l'exclusion de garantie. Voir article 18 des CG.,VIP
EX00022,Utilisation d'un véhicule non conforme aux normes,Technique,Un véhicule non conforme aux normes en vigueur n'est pas garanti. Voir article 35 des CG.,Silver+
EX00023,Dommages dus à un acte terroriste,Territorial,Les actes terroristes sont exclus des garanties standard. Voir article 26 des CG.,Gold+
EX00024,Panne mécanique non liée à un accident,Technique,Les pannes mécaniques sans accident ne sont pas couvertes. Voir article 7 des CG.,Bronze
EX00025,Dégâts causés par le manque d'huile ou de liquide,Technique,Le défaut d'entretien des fluides n'est pas indemnisé. Voir article 31 des CG.,Silver
EX00026,Responsabilité civile en cas de prêt du véhicule,Conduite,Le prêt du véhicule à une personne non déclarée peut exclure la garantie. Voir article 42 des CG.,Gold
EX00027,Véhicule utilisé pour une activité illégale,Usage,L'usage du véhicule pour des activités illégales est exclu. Voir article 15 des CG.,Eco+
EX00028,Dommages causés par des rongeurs ou parasites,Administratif,Les dégâts causés par des animaux nuisibles ne sont pas couverts. Voir article 28 des CG.,VIP
EX00029,Frais de recherche du véhicule volé,Administratif,Les frais de recherche en cas de vol ne sont pas pris en charge. Voir article 34 des CG.,Bronze
EX00030,Défaut de signalisation d'un sinistre dans les délais,Administratif,Le non-respect des délais de déclaration entraîne l'exclusion. Voir article 3 des CG.,Silver+
EX00031,Dommages aux pneumatiques sans autre dommage,Technique,Les dommages isolés aux pneus ne sont pas couverts. Voir article 25 des CG.,Gold
